id,name,degree,form
1,46.06.01 - Исторические науки и археология,Аспирантура,Очная
2,46.06.01 - Исторические науки и археология,Аспирантура,Заочная
3,45.06.01 - Языкознание и литературоведение,Аспирантура,Очная
4,45.06.01 - Языкознание и литературоведение,Аспирантура,Заочная
5,01.06.01 - Математика и механика,Аспирантура,Очная
6,01.06.01 - Математика и механика,Аспирантура,Заочная
7,09.06.01 - Информатика и вычислительная техника,Аспирантура,Очная
8,09.06.01 - Информатика и вычислительная техника,Аспирантура,Заочная
9,"47.06.01 - Философия, этика и религиоведение",Аспирантура,Очная
10,"47.06.01 - Философия, этика и религиоведение",Аспирантура,Заочная
11,42.06.01 - Средства массовой информации и информационно-библиотечное дело,Аспирантура,Очная
12,42.06.01 - Средства массовой информации и информационно-библиотечное дело,Аспирантура,Заочная
13,32.06.01 - Медико-профилактическое дело,Аспирантура,Очная
14,32.06.01 - Медико-профилактическое дело,Аспирантура,Заочная
15,41.06.01 - Политические науки и регионоведение,Аспирантура,Очная
16,41.06.01 - Политические науки и регионоведение,Аспирантура,Заочная
17,40.06.01-  Юриспруденция,Аспирантура,Очная
18,40.06.01-  Юриспруденция,Аспирантура,Заочная
19,49.06.01- Физическая культура и спорт,Аспирантура,Очная
20,49.06.01- Физическая культура и спорт,Аспирантура,Заочная
21,44.06.01 - Образование и педагогические науки,Аспирантура,Очная
22,44.06.01 - Образование и педагогические науки,Аспирантура,Заочная
23,38.06.01 - Экономика,Аспирантура,Очная
24,38.06.01 - Экономика,Аспирантура,Заочная
25,06.06.01 - Биологические науки,Аспирантура,Очная
26,06.06.01 - Биологические науки,Аспирантура,Заочная
27,05.06.01 - Науки о Земле,Аспирантура,Очная
28,05.06.01 - Науки о Земле,Аспирантура,Заочная
29,03.06.01 - Физика и астрономия,Аспирантура,Очная
30,03.06.01 - Физика и астрономия,Аспирантура,Заочная
31,18.06.01 - Химическая технология,Аспирантура,Очная
32,18.06.01 - Химическая технология,Аспирантура,Заочная
33,39.06.01 - Социологические науки,Аспирантура,Очная
34,39.06.01 - Социологические науки,Аспирантура,Заочная
35,37.06.01 - Психологические науки,Аспирантура,Очная
36,37.06.01 - Психологические науки,Аспирантура,Заочная
37,01.03.01 - Математика,Бакалавр,Очная
38,01.03.02 - Прикладная математика и информатика,Бакалавр,Очно-заочная
39,01.03.02 - Прикладная математика и информатика,Бакалавр,Очная
40,04.03.01 - Химия,Бакалавр,Очно-заочная
41,04.03.01 - Химия,Бакалавр,Очная
42,05.03.02 - География,Бакалавр,Очная
43,05.03.06 - Экология и природопользование,Бакалавр,Очно-заочная
44,05.03.06 - Экология и природопользование,Бакалавр,Очная
45,06.03.01 - Биология,Бакалавр,Очно-заочная
46,06.03.01 - Биология,Бакалавр,Очная
47,09.03.03 - Прикладная информатика,Бакалавр,Очная
48,09.03.03 - Прикладная информатика,Бакалавр,Заочная
49,10.03.01 - Информационная безопасность,Бакалавр,Очная
50,10.05.05 - Безопасность информационных технологий в правоохранительной сфере,Специалист,Очная
51,11.03.02 - Инфокоммуникационные технологии и системы связи,Бакалавр,Очная
52,11.03.02 - Инфокоммуникационные технологии и системы связи,Бакалавр,Заочная
53,31.05.01 - Лечебное дело,Специалист,Очная
54,31.05.02 - Педиатрия,Специалист,Очная
55,31.05.03 - Стоматология,Специалист,Очная
56,37.03.01 - Психология,Бакалавр,Очно-заочная
57,37.03.01 - Психология,Бакалавр,Очная
58,37.05.01 - Клиническая психология,Специалист,Очная
59,37.05.02 - Психология служебной деятельности,Специалист,Очно-заочная
60,38.03.03 - Управление персоналом,Бакалавр,Очная
61,38.03.03 - Управление персоналом,Бакалавр,Заочная
62,38.03.04 - Государственное и муниципальное управление,Бакалавр,Очная
63,38.03.04 - Государственное и муниципальное управление,Бакалавр,Заочная
64,38.03.05 - Бизнес-информатика,Бакалавр,Очная
65,38.03.05 - Бизнес-информатика,Бакалавр,Заочная
66,38.03.06 - Торговое дело,Бакалавр,Заочная
67,38.05.01 - Экономическая безопасность,Специалист,Очная
68,38.05.01 - Экономическая безопасность,Специалист,Заочная
69,39.03.01 - Социология,Бакалавр,Очная
70,39.03.01 - Социология,Бакалавр,Заочная
71,40.05.01 - Правовое обеспечение национальной безопасности,Специалист,Очная
72,40.05.01 - Правовое обеспечение национальной безопасности,Специалист,Заочная
73,41.03.04 - Политология,Бакалавр,Очно-заочная
74,41.03.04 - Политология,Бакалавр,Очная
75,41.03.05 - Международные отношения,Бакалавр,Очная
76,42.03.01 - Реклама и связи с общественностью,Бакалавр,Очная
77,42.03.01 - Реклама и связи с общественностью,Бакалавр,Заочная
78,42.03.02 - Журналистика,Бакалавр,Очная
79,42.03.02 - Журналистика,Бакалавр,Заочная
80,42.03.03 - Издательское дело,Бакалавр,Очная
81,43.03.01 - Сервис,Бакалавр,Очная
82,43.03.01 - Сервис,Бакалавр,Заочная
83,43.03.02 - Туризм,Бакалавр,Очная
84,43.03.02 - Туризм,Бакалавр,Заочная
85,44.03.03 - Специальное (дефектологическое) образование,Бакалавр,Очная
86,44.03.03 - Специальное (дефектологическое) образование,Бакалавр,Заочная
87,46.03.01 - История,Бакалавр,Очная
88,46.03.01 - История,Бакалавр,Заочная
89,46.03.02 - Документоведение и архивоведение,Бакалавр,Очная
90,46.03.02 - Документоведение и архивоведение,Бакалавр,Заочная
91,47.03.01 - Философия,Бакалавр,Очная
92,48.03.01 - Теология,Бакалавр,Очная
93,48.03.01 - Теология,Бакалавр,Заочная
94,49.03.01 - Физическая культура,Бакалавр,Очная
95,49.03.01 - Физическая культура,Бакалавр,Заочная
96,49.03.02 - Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),Бакалавр,Заочная
97,51.03.01 - Культурология,Бакалавр,Очная
98,51.03.01 - Культурология,Бакалавр,Заочная
99,51.03.06 - Библиотечно-информационная деятельность,Бакалавр,Очная
100,51.03.06 - Библиотечно-информационная деятельность,Бакалавр,Заочная
101,52.05.01 - Актерское искусство,Специалист,Очная
102,54.03.01 - Дизайн,Бакалавр,Очная
103,Университетский профильный класс,Среднее общее образование,Очная
104,34.02.01 - Сестринское дело,СПО,Очная
105,38.02.01 - Экономика и бухгалтерский учёт (по отраслям),СПО,Очная
106,40.02.02 - Правоохранительная деятельность,СПО,Очная
107,31.08.32 - Дерматовенерология,Ординатура,Очная
108,31.08.01 - Акушерство и гинекология,Ординатура,Очная
109,31.08.05 - Клиническая лабораторная диагностика,Ординатура,Очная
110,31.08.57 - Онкология,Ординатура,Очная
111,31.08.19 - Педиатрия,Ординатура,Очная
112,31.08.49 - Терапия,Ординатура,Очная
113,31.08.67 - Хирургия,Ординатура,Очная
114,31.08.53 - Эндокринология,Ординатура,Очная
115,44.03.01 - Педагогическое образование,Бакалавр,Очная
116,44.03.01 - Педагогическое образование,Бакалавр,Заочная
117,38.03.01 - Экономика,Бакалавр,Очная
118,38.03.01 - Экономика,Бакалавр,Заочная
119,40.03.01 - Юриспруденция,Бакалавр,Очно-заочная
120,40.03.01 - Юриспруденция,Бакалавр,Очная
121,40.03.01 - Юриспруденция,Бакалавр,Заочная
122,01.04.01 - Математика,Магистр,Очно-заочная
123,01.04.01 - Математика,Магистр,Очная
124,01.04.02 - Прикладная математика и информатика,Магистр,Очно-заочная
125,01.04.02 - Прикладная математика и информатика,Магистр,Очная
126,03.03.02 - Физика,Бакалавр,Очная
127,37.04.01 - Психология,Магистр,Очно-заочная
128,37.04.01 - Психология,Магистр,Очная
129,44.04.01 - Педагогическое образование,Магистр,Очная
130,44.04.01 - Педагогическое образование,Магистр,Заочная
131,38.04.08 - Финансы и кредит,Магистр,Очная
132,38.04.08 - Финансы и кредит,Магистр,Заочная
133,38.04.01 - Экономика,Магистр,Очная
134,38.04.01 - Экономика,Магистр,Заочная
135,40.04.01 - Юриспруденция,Магистр,Очная
136,40.04.01 - Юриспруденция,Магистр,Заочная
137,45.03.02 - Лингвистика,Бакалавр,Очная
138,45.03.01 - Филология,Бакалавр,Очная
139,45.03.01 - Филология,Бакалавр,Заочная
140,38.03.02 - Менеджмент,Бакалавр,Очная
141,38.03.02 - Менеджмент,Бакалавр,Заочная
142,44.03.05 - Педагогическое образование (с двумя профилями подготовки),Бакалавр,Очная
143,44.03.05 - Педагогическое образование (с двумя профилями подготовки),Бакалавр,Заочная
144,31.08.59 - Офтальмология,Ординатура,Очная
145,44.04.02 - Психолого-педагогическое образование,Магистр,Очная
146,44.04.02 - Психолого-педагогическое образование,Магистр,Заочная
147,Довузовская подготовка,Довузовская подготовка,Очная
148,Довузовская подготовка,Дополнительная общеразвивающая программа,Очная
149,"Филология, русский язык и литература",Бакалавр,Очная
150,38.04.10 - Жилищное хозяйство и коммунальная инфраструктура,Магистр,Заочная
151,31.08.02 - Анестезиология-реаниматология,Ординатура,Очная
152,31.08.35 - Инфекционные-болезни,Ординатура,Очная
153,31.08.42 - Неврология,Ординатура,Очная
154,31.08.20 - Психиатрия,Ординатура,Очная
155,31.08.09 - Рентгенология,Ординатура,Очная
156,31.08.48 - Скорая медицинская помощь,Ординатура,Очная
157,31.08.66 - Травматология и ортопедия,Ординатура,Очная
158,31.08.36 - Кардиология,Ординатура,Очная
159,38.02.06 - Финансы,СПО,Очная
160,54.02.01 - Дизайн (по отраслям),СПО,Очная
161,19.04.01 - Биотехнология,Магистр,Очно-заочная
162,"18.04.02 - Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Магистр,Очно-заочная
163,48.04.01 - Теология,Магистр,Заочная
164,44.02.04 - Специальное дошкольное образование,СПО,Очная
165,53.03.03 - Вокальное искусство,Бакалавр,Очная
166,53.03.03 - Вокальное искусство,Бакалавр,Заочная
167,53.04.02 - Вокальное искусство,Магистр,Заочная
168,40.05.04 - Судебная и прокурорская деятельность,Специалист,Очная
169,40.05.04 - Судебная и прокурорская деятельность,Специалист,Заочная
170,Комплексная подготовка к ЕГЭ по обществознанию,Дополнительная общеразвивающая программа,Очная
171,Коммуникативная грамматика английского языка,Дополнительная общеразвивающая программа,Очная
172,Физика: проблемы и открытия,Дополнительная общеразвивающая программа,Очная
173,Комплексная подготовка к ЕГЭ по химии,Дополнительная общеразвивающая программа,Очная
174,31.08.73 - Стоматология терапевтическая,Ординатура,Очная
175,44.03.02 - Психолого-педагогическое образование,Бакалавр,Очная
176,44.03.02 - Психолого-педагогическое образование,Бакалавр,Заочная
177,39.03.02 - Социальная работа,Бакалавр,Очная
178,39.03.02 - Социальная работа,Бакалавр,Заочная
179,51.03.03 - Социально-культурная деятельность,Бакалавр,Очная
